sido_name,district,category_large,category_middle,store_name,latitude,longitude,store_category
광주광역시,남구,부동산,부동산 서비스,케이비부동산컨설팅,35.1321605929098,126.895634426635,other
광주광역시,서구,부동산,부동산 서비스,어반씨티,35.1457953193811,126.84284396,other
광주광역시,북구,과학·기술,기술 서비스,선율엔텍,35.2224487028551,126.851703302176,other
광주광역시,서구,과학·기술,회계·세무,윤기탁나래세무회계사무소,35.1294928959643,126.886004740988,other
광주광역시,광산구,수리·개인,이용·미용,듀퐁헤어,35.1375571776783,126.79481034992,other
광주광역시,광산구,수리·개인,자동차 수리·세차,북광주자동차공업사,35.1992752342701,126.851921130304,other
광주광역시,서구,수리·개인,이용·미용,결,35.1467918370352,126.869892816635,other
광주광역시,북구,음식,한식,다연,35.1825477758598,126.897019249725,food
광주광역시,광산구,소매,기타 상품 소매,경해,35.183440283206,126.797187292351,retail
광주광역시,북구,음식,한식,용호가든,35.164770056894,126.979957147818,food
광주광역시,북구,소매,의약·화장품 소매,광제당한약방,35.1753953792891,126.914197538853,retail
광주광역시,남구,음식,주점,투다리,35.1435779475122,126.902983085456,food
광주광역시,북구,수리·개인,자동차 수리·세차,카스톰,35.2143880790576,126.882184902308,other
광주광역시,북구,예술·스포츠,유원지·오락,오렌지노래연습장,35.2037949122674,126.89966096654,other
광주광역시,광산구,음식,한식,호야명품,35.1915630406794,126.815053449552,food
광주광역시,광산구,수리·개인,이용·미용,코끼리이용원,35.1684010763542,126.8110664314,other
광주광역시,광산구,시설관리·임대,청소·방제,클린에어광산지점,35.1890734451695,126.797008601649,other
광주광역시,북구,교육,기타 교육,브리테테,35.1747547595782,126.913276084468,other
광주광역시,북구,음식,기타 간이,명랑핫도그,35.1758092678348,126.913165186096,food
광주광역시,동구,소매,종합 소매,주크샵,35.0904310390049,126.941395558711,retail
광주광역시,광산구,소매,식료품 소매,아삭601,35.1822399956823,126.81900494656,retail
광주광역시,북구,수리·개인,이용·미용,이서현헤어,35.1624798160094,126.929566611765,other
광주광역시,남구,시설관리·임대,고용 알선,친정맘산후관리,35.1451175864263,126.890427316893,other
광주광역시,광산구,음식,비알코올,광주광산어등지역자활센터딜라잇가든,35.1615655133568,126.803344216727,food
광주광역시,광산구,시설관리·임대,운송장비 대여,웨이광주빛고을지점,35.1455601711342,126.810757098381,other
광주광역시,서구,수리·개인,이용·미용,SY헤어,35.1194841075211,126.864911859438,other
광주광역시,광산구,소매,종합 소매,G25광주,35.188710585426,126.83726060729,retail
광주광역시,서구,음식,한식,참진족발,35.1172780731348,126.859024618463,food
광주광역시,서구,음식,동남아시아,동네포우차,35.157660130149,126.867943843216,food
광주광역시,서구,수리·개인,욕탕·신체관리,골드,35.130815702551,126.858288123663,other
광주광역시,북구,소매,오락용품 소매,톡톡블럭,35.207918560116,126.875363341002,retail
광주광역시,광산구,수리·개인,이용·미용,하이퐁샵,35.1690856252069,126.810757493966,other
광주광역시,서구,시설관리·임대,고용 알선,은우산업,35.1504946033966,126.885975458667,other
광주광역시,광산구,음식,주점,오늘도삼겹살,35.1285271839137,126.795787521302,food
광주광역시,서구,수리·개인,이용·미용,에스헤어,35.1256551223174,126.878813039084,other
광주광역시,광산구,시설관리·임대,가정용품 대여,청호나이스정수기,35.2126078388034,126.83905804089,other
광주광역시,서구,예술·스포츠,스포츠 서비스,레전드히어로즈광주,35.1546160507454,126.854405617778,other
광주광역시,남구,음식,비알코올,달뫼전망대,35.1444380377231,126.896672225132,food
광주광역시,광산구,음식,기타 간이,툰박스,35.1764900771721,126.802177554887,food
광주광역시,동구,수리·개인,이용·미용,세라네일,35.1496465430215,126.93326504868,other
광주광역시,광산구,음식,주점,요리주점,35.173534513978,126.814117286603,food
광주광역시,광산구,음식,기타 간이,치킨아이,35.1579298312274,126.806952907811,food
광주광역시,남구,음식,한식,미풍해장국,35.1337495837637,126.910115703478,food
광주광역시,서구,수리·개인,이용·미용,김쏘뷰티,35.1504062324349,126.861700138175,other
광주광역시,동구,부동산,부동산 서비스,영암부동산중개,35.1466710975234,126.931555543545,other
광주광역시,광산구,음식,주점,미소호프,35.1304283922494,126.790121359325,food
광주광역시,서구,음식,주점,한라맥주,35.1570943835028,126.861754671972,food
광주광역시,서구,음식,한식,딱좋은푸드,35.1453804634808,126.849769195654,food
광주광역시,동구,시설관리·임대,기타 사업 서비스,아콘,35.1516469017048,126.917547781713,other
광주광역시,서구,과학·기술,기술 서비스,이데아건축사사무소,35.1576633662062,126.847661291031,other
광주광역시,북구,소매,오락용품 소매,엔에스컴퍼니,35.1860052840334,126.865647265106,retail
광주광역시,서구,부동산,부동산 서비스,대운투자개발,35.1394220583424,126.856879644891,other
광주광역시,광산구,음식,기타 간이,아침에식빵,35.2154598660318,126.835153384879,food
광주광역시,북구,숙박,일반 숙박,이끌림,35.1665269881661,126.903504668158,accommodation
광주광역시,북구,음식,한식,샛거리이야기,35.2015937181244,126.897401522651,food
광주광역시,남구,소매,기타 생활용품 소매,휘슬러광주,35.1277196041856,126.910308843006,retail
광주광역시,북구,부동산,부동산 서비스,포인트+부동산중개사무소,35.1718067232872,126.91244493925,other
광주광역시,북구,음식,한식,왕골남서문,35.1801648902981,126.893201760499,food
광주광역시,광산구,소매,섬유·의복·신발 소매,파크랜드오스틴리드,35.1779734869322,126.80537957306,retail
광주광역시,북구,음식,기타 간이,도스마스전대,35.1786031954772,126.912777977053,food
광주광역시,북구,음식,주점,하모니,35.1860902735628,126.921278883008,food
광주광역시,광산구,과학·기술,광고,애드컴퍼니,35.1628947098711,126.811660899145,other
광주광역시,광산구,음식,한식,반월추어탕,35.2130799862794,126.841671028462,food
광주광역시,북구,음식,기타 간이,비에이치씨치킨,35.1772773404829,126.900000947303,food
광주광역시,서구,부동산,부동산 서비스,알토란공인중개사사무소,35.1230642845125,126.884017018974,other
광주광역시,북구,수리·개인,이용·미용,네일민영,35.1785475937554,126.888900415459,other
광주광역시,광산구,음식,한식,무쳐볶아,35.1308797356135,126.790504214103,food
광주광역시,북구,음식,한식,마중물추어탕문흥;우산,35.180961318856,126.920910558123,food
광주광역시,광산구,시설관리·임대,산업용품 대여,동경중전기,35.1347380148314,126.756951982533,other
광주광역시,동구,과학·기술,광고,디자인톡,35.1439416916277,126.919673452062,other
광주광역시,서구,수리·개인,이용·미용,포레스트데이,35.1239198634223,126.883269786334,other
광주광역시,서구,소매,식료품 소매,맛있는과일,35.1576688443482,126.867669443971,retail
광주광역시,남구,소매,장식품 소매,핸드메이드공방소꿉,35.1402712270448,126.893758653018,retail
광주광역시,서구,예술·스포츠,스포츠 서비스,중흥토건중흥레포츠클럽,35.1229330398025,126.854286485481,other
광주광역시,동구,소매,시계·귀금속 소매,한국공인금거래소광주점,35.146274411924,126.916993532669,retail
광주광역시,광산구,음식,기타 간이,청춘당찹쌀꽈베기,35.1383681760755,126.79467664135,food
광주광역시,북구,음식,주점,꼬치상회,35.1983010310936,126.875268225321,food
광주광역시,북구,과학·기술,전문 디자인,디자인키위,35.2025334553426,126.900189627373,other
광주광역시,북구,음식,한식,우리콩,35.2144445026736,126.875518112781,food
광주광역시,광산구,수리·개인,욕탕·신체관리,온에스테틱,35.1756217512532,126.811587639559,other
광주광역시,광산구,예술·스포츠,스포츠 서비스,리턴투핏,35.1914359783786,126.814482780815,other
광주광역시,남구,예술·스포츠,도서관·사적지,학림스터디카페광주방림점,35.1344051885584,126.919540179663,cafe
광주광역시,동구,음식,기타 간이,멕시카나문화전당점,35.1446713778619,126.919047236082,food
광주광역시,남구,음식,기타 간이,짱짱이네김밥,35.083105979382,126.829937383671,food
광주광역시,남구,음식,한식,상우칼국수,35.145164024115,126.891952603219,food
광주광역시,서구,부동산,부동산 서비스,리치부동산중개사무소,35.1574487988104,126.849066538886,other
광주광역시,서구,과학·기술,기술 서비스,특별한조경,35.1637167412676,126.885122814841,other
광주광역시,남구,수리·개인,이용·미용,벨르헤어살롱,35.1022552691988,126.887764645034,other
광주광역시,서구,시설관리·임대,기타 사업 서비스,스타컴퍼니,35.1642559578985,126.850601620358,other
광주광역시,광산구,소매,식료품 소매,아정이네반찬가게,35.1858084533744,126.837431080989,retail
광주광역시,북구,숙박,일반 숙박,에스모텔,35.1767478885406,126.92884073862,accommodation
광주광역시,서구,소매,종합 소매,해빛KDB점,35.1523404751428,126.904618889711,retail
광주광역시,북구,보건의료,의원,빛고을재활의학과의원,35.1808579931752,126.873505379904,other
광주광역시,북구,음식,서양식,타코센세,35.1731757558448,126.88917118346,food
광주광역시,동구,소매,가전·통신 소매,주안통신,35.1533671996773,126.915658374645,retail
광주광역시,남구,교육,기타 교육,무용담,35.1401632881453,126.917153359615,other
광주광역시,동구,음식,비알코올,러블리카페,35.1512019912581,126.926514433419,cafe
광주광역시,북구,과학·기술,전문 디자인,숨인테리어,35.1879868769212,126.913569453534,other
광주광역시,동구,소매,섬유·의복·신발 소매,엠엘비충장로점,35.1481757237479,126.916179515863,retail
광주광역시,서구,과학·기술,기술 서비스,금탑건축사사무소,35.148712941782,126.847721869983,other
광주광역시,남구,교육,일반 교육,유스터디,35.1276142524391,126.914192826451,other
광주광역시,광산구,부동산,부동산 서비스,명가1공인중개사사무소,35.2094970242748,126.780890587542,other
광주광역시,서구,음식,비알코올,슬슬베이크샵,35.1479582863979,126.865029432706,food
광주광역시,서구,소매,철물·건설자재 소매,화장실하수구싱크대냄새제거차단골드트랩,35.1547116577619,126.867004756923,retail
광주광역시,동구,소매,가전·통신 소매,내일아이에스,35.1495926903471,126.933682117165,retail
광주광역시,광산구,소매,식료품 소매,봉황건어물,35.13708297025,126.79689633931,retail
광주광역시,서구,음식,기타 간이,푸라닭광주,35.1347909222312,126.858467765701,food
광주광역시,북구,교육,기타 교육,윤선생우리집앞영어교실북구용두영어교습소,35.2135934652316,126.871906028232,other
광주광역시,서구,부동산,부동산 서비스,전원공인중개사사무소,35.1409116058621,126.858841232488,other
광주광역시,서구,음식,비알코올,쟝리,35.166816961686,126.859081874369,food
광주광역시,광산구,시설관리·임대,운송장비 대여,광주공항렌트패스,35.13794023613,126.792153984793,other
광주광역시,남구,수리·개인,이용·미용,자연미뷰티,35.1184422484266,126.89612364115,other
광주광역시,북구,시설관리·임대,청소·방제,착한마음홈케어,35.1818017633916,126.870989806716,other
광주광역시,동구,예술·스포츠,유원지·오락,또와노래홀,35.1410754424478,126.919796972976,other
광주광역시,북구,소매,식료품 소매,이가네반찬,35.2102593393766,126.881619777913,retail
광주광역시,동구,교육,기타 교육,필라테스요가서사이어티소태점,35.1214880516045,126.933430639299,other
광주광역시,서구,음식,일식,고래밥,35.1519655545661,126.86980775888,food
광주광역시,광산구,부동산,부동산 서비스,스마트공인중개사사무소,35.189881857745,126.817922968052,other
광주광역시,광산구,음식,비알코올,빈러브,35.1824899020978,126.817357582498,food
광주광역시,남구,과학·기술,전문 디자인,제일인테리어,35.1156136211511,126.898079850039,other
광주광역시,광산구,예술·스포츠,도서관·사적지,셀독24스터디카페,35.1904249658152,126.82560761752,cafe
광주광역시,북구,부동산,부동산 서비스,첨단2지구호반공인중개사사무소,35.2098244647112,126.862456083943,other
광주광역시,광산구,교육,기타 교육,들꽃향기,35.1755182444735,126.803178888298,other
광주광역시,동구,수리·개인,이용·미용,채울미용실,35.1292039634124,126.933852252979,other
